Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
January 2008,Bawku Presby Hospital,70,0,471,7,,,,,,,,,2,57,,,15,,,,,4,,16,,,,
January 2008,Urban (bawku) Health Centre,,,193,,,,,,,,,,,,,,,,,,,,,18,,10,,
January 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,10,55,,,10,,,,,,,39,3,,1,
January 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Islam Matenity,4,0,20,,,,,,,,,,,37,,,,,,,,,,12,,,,
January 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Mognori Health Centre,12,0,85,,,,,,,,,,,6,,,1,,2,,,,,6,,7,2,
January 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bawku Presby Hospital,72,0,473,18,,,,,,,,,6,39,,,11,,1,,,,,12,,55,,
February 2008,Urban (bawku) Health Centre,,,156,,,,,,,,,,,8,,,,,,,,,,24,,44,,
February 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,19,138,,,53,,,,,2,,118,,,3,
February 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Islam Matenity,17,0,8,,,,,,,,,,,37,,,,,,,,,,32,,,,
February 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Mognori Health Centre,10,0,51,,,1,,2,,,,,,3,,,,,6,,,,,11,,9,3,
February 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bawku Presby Hospital,96,0,438,13,,,,,,,,,7,67,,,13,,3,,,8,,16,,64,,
March 2008,Urban (bawku) Health Centre,,,231,,,,,,,,,,,19,,,,,,,,,,31,,35,1,
March 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,42,313,,,81,,,,,,,416,,,,
March 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Islam Matenity,18,0,21,,,,,,,,,,,18,,,,,,,,,,,,,,
March 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Mognori Health Centre,10,0,75,,,1,,2,,,,,,8,,,1,,,,,,1,10,,7,1,
March 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bawku Presby Hospital,154,0,821,16,,,,,,,,,9,74,,,16,,8,,,15,,24,,195,,
April 2008,Urban (bawku) Health Centre,,,283,,,2,,5,,,,,,11,,,1,,,,,,,47,,52,7,
April 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,23,127,,,24,,,,,2,,76,,,3,
April 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Islam Matenity,7,0,17,,,,,,,,,,,35,,,,,,,,,,,,,,
April 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Mognori Health Centre,12,0,80,,,1,,3,,,,,,6,,,1,,2,,,,,9,,5,1,
April 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Bawku Presby Hospital,109,0,503,11,,,,,,,,,2,58,,,27,,1,,,2,,11,,44,,
May 2008,Urban (bawku) Health Centre,,,201,,,1,,,,,,,,13,,,,,,,,,,33,,28,,
May 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,5,94,,,8,,,,,,,89,,,6,
May 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Islam Matenity,18,0,11,,,,,,,,,,,25,,,,,,,,,,12,,,,
May 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Mognori Health Centre,10,0,70,,,3,,2,,,,,,6,,,,,2,,,,,7,,2,,
May 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bawku Presby Hospital,104,0,342,16,,,,,,,,,8,35,,,14,,,,,6,,20,,94,,
June 2008,Urban (bawku) Health Centre,,,200,,,,,,,,,,1,6,,,,,,,,,,41,,41,,
June 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,2,120,,,21,,,,,2,,73,2,,7,
June 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Islam Matenity,9,0,18,,,,,,,,,,,18,,,,,,,,,,,,,,
June 2008,Baribari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Case Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Vineyard Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Millennium Laafi Doog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Urban West Health Centre (Bawku),,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Asikiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Mognori Health Centre,6,0,60,,,2,,5,,,,,,7,,,,,2,,,,,25,,9,,
June 2008,Tensungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bawku Presby Hospital,123,0,607,14,,,,,,,,,16,63,,,8,,3,,,6,,33,,142,,
July 2008,Urban (bawku) Health Centre,,,277,,,1,,1,,2,,,,13,,,,,,,,,,97,,55,,
July 2008,Kuka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Quality (bawku) Medical Centre,,,,,,,,,,,,,6,134,,,31,,,,,,,86,6,,2,
July 2008,Gentiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bugre Corner Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Islam Matenity,5,0,18,,,,,,,,,,,14,,,7,,,,,,,,,,,
