Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Googo Clinic,21,0,91,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Agatusi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zongoire Health Centre,18,0,58,,,,,1,,,,74,1,1,,,,,,,,,,19,,13,
January 2008,Tonde CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Salpiiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Biringu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sapelliga Health Centre,19,0,95,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Boya CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,2,,3,
January 2008,Tilli Clinic,7,0,58,,,,,1,,,,,,,,,,,2,,,,,5,,12,
January 2008,Gozeisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Teshie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gossips Clinic,,,,,,,,,,,,,,,,,,,,,,1,,10,,,
January 2008,Yelwoko Clinic,11,0,116,,,1,,,,,,,34,2,,,5,,3,,,,,14,,20,24
January 2008,Kopella CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbantango Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zongoire CHPS,,,,,,,,,,,,,1,1,,,,,,,,,,20,,13,
January 2008,Zebilla Town Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tarikom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Timonde Health Centre,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,3
January 2008,Dagunba CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yarigu CHPS,,,,,,,,,,,,,1,,,,,,,,,,,10,,,
January 2008,Faith (bawku West) Clinic,,,,,,,,,,,,,,2,,,,,,,,,,5,,,13
January 2008,Widnaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Naaba Akparibilla Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zebilla Hospital,,,,,,,,,,,,,29,32,,,20,,10,,1,9,1,7,,64,
January 2008,Azuwera CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Apodapogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kansoongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zebilla Rch,67,1,587,7,,8,,1,,,,,,,,,,,,,,,,,,,
January 2008,Galaka CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Binaba Health Centre,22,0,232,,,4,,,,1,,,7,,,,4,,8,,,,,24,,141,
January 2008,Soogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Googo Clinic,18,0,99,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Agatusi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zongoire Health Centre,19,0,101,,,,,,,,,68,,1,,,,,1,,,,,5,,16,
February 2008,Tonde CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Salpiiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Biringu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sapelliga Health Centre,18,0,90,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Boya CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tanga CHPS,,,63,,,,,,,,,,,,,,,,,,,,,2,,8,
February 2008,Tilli Clinic,11,0,37,,,,,,,,,,,,,,,,,,,,,9,,5,3
February 2008,Gozeisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Teshie CHPS,,,,,,,,,,,,,,,,,,,,,,,,1,,,
February 2008,Gossips Clinic,,,,,,,,,,,,,,,,,23,,,,,,,53,,,
February 2008,Yelwoko Clinic,,,,,,,,,,,,,38,1,,,5,,3,,,1,,21,,26,20
