Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Anafobisi Clinic,4,0,138,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,TarongoCHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Asologo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kuyelgo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dua  Clinic,13,0,76,,,,,,,,,,,,,,,,,,,,,15,,9,
January 2008,Apatanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bongo Hospital,34,0,106,2,,5,,2,,,,,45,6,,,7,,,,,4,,40,,41,
January 2008,Tangapore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Akolposiga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kabre CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Balungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kulpelliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Borigo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sikabisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Goo Awaa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gamborogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Apuwongo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bongo Soe Health Centre,11,0,242,,,2,,,,,,,,1,,,,,,,,,,9,,,4
January 2008,Ayopia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Boko CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nayorigo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Atampintin CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nyariga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sambolgo-moo  CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kunkua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Namoo Health Centre,8,0,137,,,2,,,,,,,1,5,,,,,,,,1,,18,,26,
January 2008,Vea Health Centre,21,0,91,,,,,,,,,,,,,,4,,,,,,,10,,16,4
January 2008,Beo Tanko,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Lungu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Atampisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,7,,8,1
January 2008,Kadare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gowrie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Feo CHPS,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
