Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
January 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Fian Health Center,3,0,2,,,,,,,,,,,2,,,,,7,,3,,,9,,50,4,
January 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kojokperi Health Centre,9,0,,,,,,,,,,,,1,,,,,2,,,,1,12,,21,3,
January 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Daffiama Health Centre,8,0,87,,,,,,,,,,20,2,,,4,,5,,1,,,9,,32,20,
January 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Issa Health Centre,8,0,,,,,,,,,,,2,6,,,2,,2,,,,,21,1,22,,
January 2008,Bussie Health Centre,7,0,59,,,,,,,,,,4,1,,,3,,2,,1,1,,16,,4,2,
February 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Fian Health Center,,,,,,,,,,,,,,6,,,2,,7,,,,,12,,39,13,
February 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kojokperi Health Centre,,,,,,,,,,,,,,2,,,5,,4,,,,,16,,33,2,
February 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Daffiama Health Centre,,,,,,,,,,,,,25,6,,,2,,4,,1,,,8,1,23,10,
February 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Issa Health Centre,,,,,,,,,,,,,2,2,,,3,,,,,2,,19,,21,9,
February 2008,Bussie Health Centre,,,,,,,,,,,,,,8,,,1,,5,,1,,,6,,5,1,
March 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Fian Health Center,,,,,,,,,,,,,,,,,1,,8,,,,,8,,50,6,
March 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kojokperi Health Centre,,,,,,,,,,,,,,7,,,1,,6,,,1,,14,,26,1,
March 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Daffiama Health Centre,,,,,,,,,,,,,9,21,,,1,,4,,10,4,,20,,34,15,
March 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Issa Health Centre,,,,,,,,,,,,,1,2,,,6,,1,,,,,9,,20,,
March 2008,Bussie Health Centre,,,,,,,,,,,,,1,1,,,4,,4,,2,1,,9,,17,9,
April 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Fian Health Center,9,0,45,,,,,,,,,,,1,,,2,,4,,,,,10,,16,6,
April 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kojokperi Health Centre,12,0,64,,,,,,,,,,,1,,,,,4,,,,,18,,27,2,
April 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Daffiama Health Centre,10,0,92,,,,,,,,,,5,16,,,1,,8,,5,3,,32,,23,16,
April 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Issa Health Centre,5,0,38,,,,,,,,,,4,3,,,10,,1,,,,,22,,28,9,
April 2008,Bussie Health Centre,10,0,65,,,,,,,,,114,1,1,,,5,,2,,,,,5,,12,10,
May 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Fian Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kojokperi Health Centre,,,,,,,,,,,,,,1,,,1,,8,,7,,,5,,17,5,
May 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Daffiama Health Centre,,,,,,,,,,,,,3,13,,,1,,10,,,,,23,,17,15,
May 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Issa Health Centre,,,,,,,,,,,,,,3,,,5,,4,,,,,27,,24,8,
May 2008,Bussie Health Centre,,,,,,,,,,,,76,,2,,,2,,6,,,,,6,,7,10,
June 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Fian Health Center,,,,,,,,,,,,,,,,,1,,12,,,,,8,,42,7,
June 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kojokperi Health Centre,,,,,,,,,,,,,,3,,,5,,9,,3,1,,6,,30,4,
June 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Daffiama Health Centre,,,,,,,,,,,,,2,9,,,6,,3,,,4,,20,,34,10,
June 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Issa Health Centre,,,,,,,,,,,,,,1,,,,,8,,5,1,,28,,40,7,
June 2008,Bussie Health Centre,,,25,,,,,,,,,82,,1,,,2,,5,,,,,9,,7,7,
July 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Fian Health Center,,,,,,,,,,,,,,1,,,3,,10,,,,,9,,33,15,
July 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kojokperi Health Centre,,,,,,,,,,,,,,,,,1,,4,,,,,6,,15,4,
July 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Daffiama Health Centre,,,,,,,,,,,,,8,8,,,4,,6,,5,5,,17,,55,13,
July 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Issa Health Centre,,,,,,,,,,,,,2,1,,,5,,4,,4,1,,32,,28,8,
July 2008,Bussie Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Fian Health Center,,,,,,,,,,,,,,1,,,,,4,,,,,6,,49,4,
August 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kojokperi Health Centre,,,,,,,,,,,,,,3,,,1,,6,,3,,,14,,43,7,
August 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Daffiama Health Centre,,,,,,,,,,,,,34,9,,,,,,,,,,31,,,,
August 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Issa Health Centre,,,,,,,,,,,,,1,2,,,3,,2,,1,,,25,,58,6,
August 2008,Bussie Health Centre,,,,,,,,,,,,136,,,,,3,,3,,4,,,1,,13,5,
September 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Fian Health Center,,,,,,,,,,,,,,,,,8,,10,,2,,,8,,64,6,
September 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kojokperi Health Centre,,,,,,,,,,,,,,,,,5,,7,,,,,9,,103,,
September 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,1,3,,1,,10,,44,2,
September 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Daffiama Health Centre,,,,,,,,,,,,,17,6,,,2,,,,4,4,,23,,153,19,
September 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Issa Health Centre,,,,,,,,,,,,,8,,,,1,,,,2,2,,29,,108,8,
September 2008,Bussie Health Centre,,,,,,,,,,,,150,,,,,,,2,,,,,2,,17,15,
October 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Fian Health Center,,,,,,,,,,,,,,,,,1,,1,,1,,,18,,73,2,
October 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kojokperi Health Centre,,,,,,,,,,,,,,3,,,8,,5,,,,,13,,76,6,
October 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Daffiama Health Centre,,,,,,,,,,,,,6,5,,,4,,5,,4,6,,57,,122,9,
October 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Issa Health Centre,,,,,,,,,,,,,3,3,,,6,,,,3,,,23,,73,7,
October 2008,Bussie Health Centre,,,,,,,,,,,,115,,1,,,,,3,,,,,1,,15,,
November 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Fian Health Center,,,,,,,,,,,,,1,,,,9,,,,,,,6,,57,8,
November 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kojokperi Health Centre,,,,,,,,,,,,,,,,,,,7,,2,,,11,,32,7,
November 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Daffiama Health Centre,,,,,,,,,,,,,15,14,,,6,,7,,3,2,,17,,124,18,
November 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Issa Health Centre,,,,,,,,,,,,,,2,,,2,,,,3,,,15,1,46,4,
November 2008,Bussie Health Centre,,,,,,,,,,,,,,,,,,,5,,1,,,3,,14,14,
December 2008,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Fian Health Center,,,,,,,,,,,,,1,,,,1,,8,,1,,,7,,64,5,
December 2008,Challa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kojokperi Health Centre,,,,,,,,,,,,,,3,,,2,,17,,2,1,,12,,46,3,
December 2008,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Daffiama Health Centre,,,,,,,,,,,,,9,11,,,16,,5,,7,1,,22,,116,8,
December 2008,Samanbo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kamahegu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Issa Health Centre,,,,,,,,,,,,,3,,,,,,,,,,,10,,27,1,
December 2008,Bussie Health Centre,,,,,,,,,,,,,,,,,3,,3,,,,,2,,9,,
January 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Fian Health Center,4,0,29,,,,,,,,,,,1,,,6,,7,,1,,,10,,48,3,
January 2009,Challa CHPS,,,39,,,,,,,,,,,1,,,,,3,,,,,10,,7,4,
January 2009,Kojokperi Health Centre,8,0,67,,,,,,,,,,,3,,,4,,5,,2,,,24,,51,4,
January 2009,Tabiesi CHPS,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Daffiama Health Centre,6,0,84,,,,,,,,,,9,11,,,2,,5,,,,,8,,41,8,
January 2009,Samanbo CHPS,,,7,,,,,,,,,,,,,,,,,,1,,,1,,1,1,
January 2009,Kamahegu CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,1,,
January 2009,Issa Health Centre,11,0,63,,,,,,,,,,1,2,,,3,,,,6,1,,14,,38,7,
January 2009,Bussie Health Centre,10,10,70,,,,,,,,,,,,,,4,,9,,1,,,7,,8,6,
February 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Fian Health Center,4,0,23,,,,,,,,,,,,,,1,,11,,4,,,15,,48,7,
February 2009,Challa CHPS,,,38,,,,,,,,,,,1,,,3,,,,2,,,2,,12,3,
February 2009,Kojokperi Health Centre,10,0,72,,,,,,,,,,,9,,5,3,,6,,4,1,,12,,39,3,
February 2009,Tabiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2009,Daffiama Health Centre,9,0,56,,,,,,,,,1,9,3,,2,3,,5,2,3,,,8,,54,14,
February 2009,Samanbo CHPS,,,3,,,,,,,,,,,,,,,,,2,,,,1,,,1,
February 2009,Kamahegu CHPS,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,
February 2009,Issa Health Centre,12,0,37,,,,,,,,,,8,,,,4,,9,,1,2,,28,,35,2,
February 2009,Bussie Health Centre,6,0,71,,,,,,,,,,1,2,,,5,,3,,,,,7,,11,17,
March 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Fian Health Center,,,30,,,,,,,,,,,,,,1,,9,,,2,,18,,63,10,
March 2009,Challa CHPS,,,36,,,,,,,,,,,,,,1,,1,1,,,,8,,13,1,
March 2009,Kojokperi Health Centre,14,0,59,,,,,,,,,5,,3,,,4,,6,1,9,,,22,,43,9,
March 2009,Tabiesi CHPS,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Daffiama Health Centre,12,0,130,,,,,,,,,,2,8,,,4,,11,4,9,,,15,,47,17,
March 2009,Samanbo CHPS,,,7,,,,,,,,,11,,,,,,,,,,,,2,,2,1,
March 2009,Kamahegu CHPS,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
March 2009,Issa Health Centre,4,0,81,,,,,,,,,1,,,,,2,,11,,,,,6,,46,,
March 2009,Bussie Health Centre,7,0,66,,,,,,,,,,,2,,,7,,4,,1,,,3,,1,7,
April 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Fian Health Center,4,0,25,,,,,,,,,,,,,,5,,8,,,,,12,,35,5,
April 2009,Challa CHPS,,,38,,,,,,,,,,,,,,1,,4,,4,2,,2,,5,1,
April 2009,Kojokperi Health Centre,7,0,79,,,,,,,,,3,,2,,1,2,,9,,2,,,9,,17,8,
April 2009,Tabiesi CHPS,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Daffiama Health Centre,6,0,79,,,,,,,,,,7,8,,,11,,4,1,,13,,40,1,30,8,
April 2009,Samanbo CHPS,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
April 2009,Kamahegu CHPS,,,6,,,,,,,,,,,,,,,,,,,,,1,,1,2,
April 2009,Issa Health Centre,6,0,77,,,,,,,,,,,,,,,,,4,,1,,31,,37,5,
April 2009,Bussie Health Centre,15,0,65,,,,,,,,,,,1,,,7,,,7,,,,11,,1,8,
May 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Fian Health Center,4,0,29,,,,,,,,,,,,,,1,,6,,,,,6,,21,5,
May 2009,Challa CHPS,,,37,,,,,,,,,,,,,,1,,2,,3,,,4,,10,,
May 2009,Kojokperi Health Centre,14,0,52,,,,,,,,,3,,3,,,1,,4,,,1,,21,,19,2,
May 2009,Tabiesi CHPS,,,18,,,,,,,,,,,,,,,,,,,,,1,,2,,
May 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Daffiama Health Centre,15,0,93,,,,,,,,,1,2,8,,,1,,6,1,3,1,,24,,15,7,
May 2009,Samanbo CHPS,,,,,,,,,,,,,,1,,1,1,,,,3,,,2,,1,4,
May 2009,Kamahegu CHPS,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
May 2009,Issa Health Centre,9,0,54,,,,,,,,,,,,,,5,,8,,4,1,,20,,24,3,
May 2009,Bussie Health Centre,8,0,86,,,,,,,,,67,,,,,8,,6,,,,,2,,5,12,
June 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Fian Health Center,6,0,31,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Challa CHPS,,,26,,,,,,,,,,,,,,,,3,,,3,,14,,25,2,
June 2009,Kojokperi Health Centre,2,0,53,,,1,,1,,,,3,1,5,,,3,,,,,6,,10,,14,10,
June 2009,Tabiesi CHPS,,,8,,,,,,,,,,,,,,,,5,,,,,10,,11,,
June 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2009,Daffiama Health Centre,8,0,99,,,1,,19,,,,43,4,5,,,2,,3,2,,2,,13,,49,10,
June 2009,Samanbo CHPS,,,11,,,,,,,,,,,,,,1,,1,,,1,,,,,1,
June 2009,Kamahegu CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,,1,
June 2009,Issa Health Centre,8,0,36,,,,,1,,1,,,,,,,2,,2,,,,,12,,29,22,
June 2009,Bussie Health Centre,4,0,35,,,3,,,,,,,,,,1,5,,3,,,,,1,,6,2,
July 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Fian Health Center,2,0,24,,,,,,,,1,,,,,,2,,10,,,,,7,,43,10,
July 2009,Challa CHPS,,,,,,,,,,,,,,,,,,,4,1,,,,11,,17,,
July 2009,Kojokperi Health Centre,2,0,53,,,1,,1,,,,2,,4,,,1,,6,,,2,,14,,11,6,
July 2009,Tabiesi CHPS,1,0,25,,,,,1,,,,,5,2,,,1,,18,,,1,,13,,20,3,
July 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Daffiama Health Centre,9,0,89,,,,,,,,,,10,13,,1,10,,3,,,7,,16,,76,17,
July 2009,Samanbo CHPS,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,
July 2009,Kamahegu CHPS,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
July 2009,Issa Health Centre,7,0,40,,,,,,,,,,,,,,,,,,4,,,20,,25,7,
July 2009,Bussie Health Centre,7,0,63,,,1,,1,,,,,,1,,,4,,2,,,,,5,,6,8,
August 2009,Owlo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Jinpensi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Fian Health Center,4,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Challa CHPS,,,27,,,,,1,,,,,2,,,,1,,,,,3,,6,,50,2,
August 2009,Kojokperi Health Centre,7,0,80,,,2,,1,,,,,,3,,,2,,1,,,2,,5,,26,12,
August 2009,Tabiesi CHPS,1,0,18,,,,,,,,,,5,,,,2,,3,1,,,,7,,63,2,
August 2009,Wogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2009,Daffiama Health Centre,8,0,72,,,,,,,,,,10,6,,2,10,,4,,,11,1,21,,65,11,
August 2009,Samanbo CHPS,,,11,,,,,,,,,,,,,,,,,,,,,1,,5,,
