Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Denugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Garu Health Centre,45,0,396,,,,,,,,,,45,,,,10,,,,,,3,58,,138,14
January 2008,Dabilla CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kpatua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Aloko CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bugri Health Centre,18,0,106,,,,,,,,,,,,,,,,,,,,,2,,3,4
January 2008,Dusbuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tempane CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bimpella CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kpikpira CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Akara CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Basyonde Health Centre,,,,,,,,,,,,,1,,,,,,,,,,,8,,42,
January 2008,Nagani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sumaduri-Tubong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Pialugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bulpielsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kugri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kongo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Woriyanga Health Centre,36,0,197,,,,,,,,,,32,5,,,15,,22,,,,,41,,217,3
January 2008,Kongo Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kugasheigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kpatia (garu Tampane) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gagbiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Duuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Rabito (garu) Clinic,,,,,,,,,,,,,,,,,7,,,,,,,4,,,2
January 2008,Worikambo Health Centre,14,0,80,,,,,,,,,,11,,,,2,,,,,,,2,,6,3
January 2008,SIISI CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sumaduri Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tarivago CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Quality Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Songo Health Centre,,,61,,,,,,,,,,,,,,3,,4,,,3,,13,,,
January 2008,Denugu Clinic,,,,,,,,,,,,,,,,,,,,,,,,2,,4,
January 2008,Werichengo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wadugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kugzua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Lord Clinic,,,,,,,,,,,,,,,,,5,,7,,,,,12,,,7
January 2008,Yizidug CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Fame Clinic,,,,,,,,,,,,,2,2,,,,,,,,,,21,,,5
January 2008,Ninsum CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Farfar CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Senebaga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tariganga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yabrago CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nadigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Denugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Garu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dabilla CHPS,45,0,403,,,,,,,,,,48,16,,,13,,,,,,10,44,,123,15
February 2008,Kpatua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Aloko CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bugri Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dusbuliga CHPS,23,0,155,,,,,,,,,,1,2,,,3,,5,,,,,5,,13,
February 2008,Tempane CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bimpella CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kpikpira CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Akara CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Basyonde Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nagani CHPS,,,,,,,,,,,,,,1,,,17,,8,,,,,7,,42,
February 2008,Sumaduri-Tubong CHPS,,,,,,,,,,,,,,,,,,,,,,,,6,,,
February 2008,Pialugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bulpielsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kugri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kongo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Woriyanga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kongo Clinic,39,0,69,,,,,,,,,,38,8,,,4,,10,,,,,43,,127,7
February 2008,Kugasheigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kpatia (garu Tampane) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gagbiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Duuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Rabito (garu) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Worikambo Health Centre,,,,,,,,,,,,,,,,,4,,,,,,,7,,,2
February 2008,SIISI CHPS,13,0,132,,,,,,,,,,4,,,,1,,,,,,,9,,4,3
February 2008,Sumaduri Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tarivago CHPS,,,,,,,,,,,,,4,,,,,,,,,,,,,15,
February 2008,Quality Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Songo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Denugu Clinic,,,85,,,,,,,,,,4,4,,,,,,,,,,11,,5,
February 2008,Werichengo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,5,
February 2008,Wadugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kugzua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Lord Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yizidug CHPS ,,,,,,,,,,,,,,,,,9,,9,,,,,13,,,5
February 2008,Fame Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ninsum CHPS,16,0,65,,,,,,,,,,3,1,,,1,,,,1,,,20,,37,9
February 2008,Farfar CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Senebaga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tariganga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yabrago CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nadigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Denugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Garu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dabilla CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kpatua CHPS,72,0,412,,,,,,,,,,53,14,,,,,10,,,,3,54,,134,15
March 2008,Aloko CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bugri Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dusbuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tempane CHPS,17,0,182,,,,,,,,,,,,,,21,,7,,,,,3,,9,8
March 2008,Bimpella CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kpikpira CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Akara CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Basyonde Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nagani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sumaduri-Tubong CHPS,14,0,115,,,,,,,,,,1,1,,,4,,,,,,,2,,32,
March 2008,Pialugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bulpielsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kugri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kongo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Woriyanga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kongo Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kugasheigu CHPS,40,0,95,,,,,,,,,,38,13,,,46,,9,,,,,41,,135,10
March 2008,Kpatia (garu Tampane) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gagbiri CHPS,,,,,,,,,,,,,,,,,,,2,,,,,5,,,
March 2008,Duuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Rabito (garu) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Worikambo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,SIISI CHPS,,,,,,,,,,,,,,,,,3,,6,,,,,2,,,
March 2008,Sumaduri Clinic,20,0,113,,,,,,,,,,1,1,,,1,,,,,,,11,,6,12
March 2008,Tarivago CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Quality Medical Centre,,,,,,,,,,,,,6,,,,11,,,,,,,2,,27,
March 2008,Songo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Denugu Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Werichengo CHPS,,,72,,,,,,,,,,3,,,,3,,5,,,,,10,,6,
March 2008,Wadugu CHPS,,,,,,,,,,,,,,,,,1,,,,,,,2,,9,
March 2008,Kugzua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Lord Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Yizidug CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Fame Clinic,,,,,,,,,,,,,,,,,9,,,,,,,14,,,7
March 2008,Ninsum CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Farfar CHPS,12,0,70,,,,,,,,,,,,,,,,,,,,,9,,,
March 2008,Senebaga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tariganga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Yabrago CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nadigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Denugu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Garu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dabilla CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kpatua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Aloko CHPS,61,0,414,,,8,,2,,,,,38,15,,,15,,,,,,,40,,100,9
April 2008,Bugri Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dusbuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tempane CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bimpella CHPS ,16,0,126,,,,,,,,,,,4,,,,,13,,,,,5,,31,5
April 2008,Kpikpira CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Akara CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Basyonde Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
