Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,War Memorial Hospital,73,0,205,8,,15,,5,,1,,,17,49,,,8,,5,,2,3,,28,7,225,
January 2008,Yua Chc,5,0,32,,,,,,,,,,,,,,1,,,,,,,16,,3,1
January 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gongnia CHC,2,0,,,,,,,,,,,,,,,,,,,,,,4,,4,
January 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,,,,,,21,,3,2
January 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,9,,11,1
January 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wuru Chc,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1
January 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,52,,29,2
January 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,36,,36,
January 2008,Biu St. Martins Clinic,5,0,56,,,,,,,,,,13,6,,,,,,,,,,10,,31,1
January 2008,Navrongo Health Centre,,,199,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Vunania Chc,3,0,35,,,1,,,,,,,,,,,,,,,,,,15,,12,3
January 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
January 2008,Manyoro Chc,4,0,58,,,,,,,,,,,,,,1,,1,,,1,,12,,10,1
January 2008,Kologo Health Centre,6,0,59,,,,,,,,,,4,,,,,,1,,,,,59,,63,4
January 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,3,,3,
January 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,7,,5,
January 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Naaga Chc,2,0,33,,,,,,,,,,,,,,,,,,,,,9,,20,8
February 2008,War Memorial Hospital,62,0,201,5,,7,,,,,,,6,45,,,,,4,,,8,,20,5,174,
February 2008,Yua Chc,4,0,29,,,,,,,,,,,,,,1,,,,,,,16,,3,1
February 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,1,
February 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,,,,,,20,,4,
February 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,8,,7,
February 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wuru Chc,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
February 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,40,,28,
February 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,21,,24,
February 2008,Biu St. Martins Clinic,4,0,45,,,,,,,,,,10,5,,,,,,,,,,23,,27,1
February 2008,Navrongo Health Centre,,,189,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Vunania Chc,2,0,28,,,,,,,,,,,,,,,,,,,,,8,,4,2
February 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,1,,1,4
February 2008,Manyoro Chc,15,0,68,,,,,,,,,,,,,,,,2,,,,,,,6,1
February 2008,Kologo Health Centre,4,0,45,,,,,,,,,,11,1,,,1,,1,,,2,,34,,66,2
February 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,,,6,
February 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,8,,3,
February 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Naaga Chc,3,0,31,,,,,,,,,,,,,,,,,,,,,10,,5,9
March 2008,War Memorial Hospital,97,2,257,8,,13,,2,,2,,,6,71,,,12,,,,2,6,,12,5,88,
March 2008,Yua Chc,1,0,41,,,,,,,,,,,,,,2,,,,,,,13,,5,2
March 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,1,
March 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,1,,,,,12,,3,
March 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,6,,7,
March 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wuru Chc,,,,,,,,,,,,,2,,,,,,,,,,,2,,3,
March 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,29,,36,
March 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,,,15,
March 2008,Biu St. Martins Clinic,,,,,,,,,,,,,17,2,,,,,,,,,,18,,16,1
March 2008,Navrongo Health Centre,,,251,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Vunania Chc,3,0,32,,,,,,,,,,,,,,,,,,,,,13,,7,1
March 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
March 2008,Manyoro Chc,12,0,95,,,,,,,,,,,,,,1,,1,,,,,10,,6,1
March 2008,Kologo Health Centre,7,0,42,,,,,,,,,,4,2,,,2,,,,1,1,,31,,62,5
March 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,5,,8,
March 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,7,,4,
March 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Naaga Chc,5,0,38,,,2,,2,,1,,,,,,,,,,,,,,7,,7,10
April 2008,War Memorial Hospital,98,0,215,9,,10,,,,,,,24,74,,,58,,2,,8,16,,19,2,172,12
April 2008,Yua Chc,,,,,,,,,,,,,,,,,,,1,,,,,3,,4,
April 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,3
April 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,1,,,,,20,,5,2
April 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,6,,8,
April 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wuru Chc,,,,,,,,,,,,,3,,,,,,,,,,,1,,3,1
April 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,5,,11,
April 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,13,,10,
April 2008,Biu St. Martins Clinic,6,0,37,,,1,,,,,,,20,5,,,,,,,,,,21,,32,
April 2008,Navrongo Health Centre,,,271,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Vunania Chc,2,2,28,,,,,,,,,,,,,,,,,,,,,3,,2,
April 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
April 2008,Manyoro Chc,,,,,,,,,,,,,1,,,,1,,2,,,1,,13,,9,
April 2008,Kologo Health Centre,5,0,49,,,3,,,,,,,5,4,,,,,3,,,1,,49,,59,
April 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,9,,4,
April 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,7,,7,
April 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Naaga Chc,4,0,39,,,,,,,,,,,,,,,,,,,1,,9,,11,12
May 2008,War Memorial Hospital,102,0,256,10,,11,,,,,,,7,25,,,9,,2,,3,7,,70,7,153,
May 2008,Yua Chc,1,0,41,,,,,,,,,,,1,,,,,4,,,,,18,,4,
May 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,,,,,,17,,7,
May 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Wuru Chc,,,,,,,,,,,,,,,,,,,,,,,,8,,2,
May 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,6,,6,
May 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,7,,4,
May 2008,Biu St. Martins Clinic,2,0,21,,,,,,,,,,8,3,,,,,,,,,,30,,18,1
May 2008,Navrongo Health Centre,,,274,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Vunania Chc,,,28,,,,,,,,,,,,,,,,,,,,,10,,5,1
May 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,1,,,
May 2008,Manyoro Chc,,,34,,,,,,,,,,,,,,,,,,,,,5,,1,
May 2008,Kologo Health Centre,1,0,48,,,,,,,,,,1,,,,1,,2,,,,,45,,47,1
May 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,9,,1,
May 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Naaga Chc,2,0,33,,,,,,,,,,,,,,,,,,,,,7,,6,
June 2008,War Memorial Hospital,73,1,175,8,,10,,,,,,,15,38,,,9,,5,,4,9,,110,3,236,
June 2008,Yua Chc,2,0,50,,,,,,,,,,,,,,,,1,,,,,27,,14,1
June 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,1,
June 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,,,,,,22,,12,
June 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,7,,6,
June 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Wuru Chc,,,,,,,,,,,,,1,,,,,,,,,,,7,,3,1
June 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Doba Chc,,,,,,,,,,,,,,,,,,,1,,,,,11,,6,
June 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,14,,16,
June 2008,Biu St. Martins Clinic,,,39,,,,,,,,,,11,,,,,,,,,,,33,,18,
June 2008,Navrongo Health Centre,,,372,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Vunania Chc,3,0,41,,,,,,,,,,,,,,,,,,,,,13,,,
June 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1
June 2008,Manyoro Chc,3,0,55,,,,,,,,,,,,,,,,2,,,,,24,,13,
June 2008,Kologo Health Centre,6,0,56,,,1,,,,,,,2,2,,,,,,,1,1,,33,,44,
June 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,10,,5,
June 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Naaga Chc,,,31,,,1,,,,,,,,,,,,,,,,,,12,,7,5
July 2008,War Memorial Hospital,85,1,219,4,,16,,4,,,,,20,141,,,26,,2,,22,28,,160,1,255,
July 2008,Yua Chc,2,0,52,,,,,,,,,,,,,,2,,1,,,,,22,,11,1
July 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,4,,2,
July 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,,,,,,22,,13,2
July 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,4,,3,
July 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Wuru Chc,,,,,,,,,,,,,1,,,,,,,,,,,3,,2,
July 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,9,,3,
July 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,3,,2,
July 2008,Biu St. Martins Clinic,,,33,,,,,,,,,,23,,,,,,,,,,,23,,,
July 2008,Navrongo Health Centre,,,422,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Vunania Chc,4,0,45,,,,,,,,,,,,,,,,1,,,,,8,,1,
July 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,3,,,1
July 2008,Manyoro Chc,2,0,56,,,,,,,,,,1,,,,,,,,,,,18,,7,
July 2008,Kologo Health Centre,9,0,67,,,,,,,,,,,,,,,,2,,,1,,59,,54,3
July 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nyangua CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Gia Chc,,,,,,,,,,,,,,,,,,,,,,,,2,,1,
July 2008,Kapania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Naaga Chc,5,0,43,,,,,,,,,,,,,,,,,,,,,8,,14,10
August 2008,War Memorial Hospital,96,0,222,7,,8,,,,,,,44,139,,,161,,7,,22,22,,103,3,198,25
August 2008,Yua Chc,4,0,36,,,1,,,,,,,,,,,,,8,,,,,53,,19,2
August 2008,St. Jude Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kassena Nankana Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Gongnia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,5,
August 2008,Natugnia Chc,,,,,,,,,,,,,,,,,,,,,,,,34,,19,6
August 2008,Pungu North CHC,,,,,,,,,,,,,,,,,,,,,,,,6,,4,
August 2008,Korania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Gumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Wuru Chc,,,,,,,,,,,,,,,,,,,,,,,,24,,,
August 2008,A.F.A. Memorial Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Doba Chc,,,,,,,,,,,,,,,,,,,,,,,,,,1,
August 2008,Pungu South Chc,,,,,,,,,,,,,,,,,,,,,,,,19,,18,
August 2008,Biu St. Martins Clinic,5,5,20,,,,,,,,,,22,7,,,,,,,,,,22,,,
August 2008,Navrongo Health Centre,,,362,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Zuo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Vunania Chc,3,3,36,,,,,,,,,,,,,,,,,,,,,48,,18,2
August 2008,Pindaa Chc,,,,,,,,,,,,,,,,,,,,,,,,2,,,3
August 2008,Manyoro Chc,5,0,80,,,,,,,,,,,,,,2,,,,,,,45,,14,
August 2008,Kologo Health Centre,5,0,78,,,,,1,,,,,2,4,,,1,,,,,,,73,,69,2
August 2008,Nayagnia Chc,,,,,,,,,,,,,,,,,,,,,,,,11,,,
