Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Piina Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kanyir Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Hamile Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Hinenteng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Karne Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dahile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kulkarni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Koro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Happah B-line CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chebogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Samoa Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Muslim Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chetu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kpaare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sentu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kukuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Billaw Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Suke CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Piina Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kanyir Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Hamile Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Hinenteng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Karne Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dahile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kulkarni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Koro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Happah B-line CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chebogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Samoa Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Muslim Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chetu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kpaare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sentu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kukuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Billaw Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Suke CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Piina Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kanyir Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Hamile Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Hinenteng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Karne Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dahile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kulkarni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Koro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Happah B-line CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chebogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Samoa Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Muslim Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chetu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kpaare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sentu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kukuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Billaw Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Suke CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Piina Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kanyir Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Hamile Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Hinenteng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Karne Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dahile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kulkarni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Koro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Happah B-line CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chebogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Samoa Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Muslim Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chetu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kpaare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
