Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Nanyaare CHPS,,,25,,,,,1,,,,,,,,,,,,,,,,1,,,3
January 2008,Tanchara CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Lawra Urban Health  Centre,,,33,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bagri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbier CHPS,,,10,,,,,,,,,,,,,,,,,,,,,2,,2,1
January 2008,Dowine Health Center,1,0,41,,,1,,,,,,,,,,,,,1,,,1,,5,,12,6
January 2008,Methodist Rehabilitation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Methor Buo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dazuur CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Lawra Hospital,25,0,111,3,,2,,,,,,,19,117,,,5,,13,,4,10,1,103,2,235,
January 2008,Dikpe CHPS,,,3,,,,,,,,,,1,,,,,,,,,,,,,,1
January 2008,Eremon Health Center,2,0,78,,,3,,3,,,,,38,,,,,,8,,,,,6,,12,19
January 2008,Zambo Health Center,1,0,115,,,1,,2,,,,,,,,,,,6,,,,,,,21,1
January 2008,Boo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Methodist  Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Biro CHPS,,,12,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Lyssah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nanyaare CHPS,,,18,,,,,2,,,,,,,,,,,,,,,,8,,7,
February 2008,Tanchara CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Lawra Urban Health  Centre,,,21,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bagri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gbier CHPS,,,9,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dowine Health Center,3,0,48,,,,,,,,,,5,,,,,,1,,,,,6,,11,4
February 2008,Methodist Rehabilitation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
