Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tumu Hospital,33,0,186,4,,1,,,,,,,1,20,,,3,,19,,1,,,11,1,57,
January 2008,Sakai CHPS,,,43,,,,,,,,,,,,,,2,,2,,,,,13,,6,
January 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nabugubelle Health Center,2,0,34,,,,,,,,,,2,,,,2,,15,,,1,,,,22,4
January 2008,Wallembelle Health Center,4,4,52,,,2,,2,,,,,26,11,,,2,,1,,,,,46,,88,
January 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bawiesibelle CHPS,,,5,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tumu Health Centre,,,43,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kulfuo Health Center,,,83,,,,,,,,,,,,,,,,,,1,1,,9,,50,8
January 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nabulo Health Centre,2,0,42,,,,,,,,,32,2,1,,,2,,7,,3,,,3,,5,
January 2008,Kunchogu Health Center,,,32,,,,,,,,,,7,,,,,,3,,,,,2,,8,2
January 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tumu Hospital,22,0,210,2,,,,,,,,,1,85,,,9,,35,,5,2,,55,1,192,
February 2008,Sakai CHPS,,,45,,,,,,,,,,4,,,,,,6,,,,,4,,46,
February 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nabugubelle Health Center,,,,,,,,,,,,,6,,,,,,19,,3,,,3,,19,8
February 2008,Wallembelle Health Center,3,0,71,,,,,1,,,,,13,6,,,8,,6,,5,2,,23,,70,
February 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bawiesibelle CHPS,,,10,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tumu Health Centre,,,,,,,,,,,,,4,,,,1,,6,,,,,2,,46,
February 2008,Kulfuo Health Center,,,,,,,,,,,,,,,,,10,,3,,1,1,,1,,51,
February 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nabulo Health Centre,3,0,45,,,,,,,,,,4,1,,,3,,8,,2,2,,9,,,7
February 2008,Kunchogu Health Center,,,35,,,,,,,,,,17,,,,,,3,,,,,,,11,
February 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tumu Hospital,21,0,175,,,1,,,,,,,,33,,,17,,,,7,,1,26,,151,
March 2008,Sakai CHPS,1,0,46,,,,,,,,,,,,,,4,,,,,,,14,2,50,
March 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nabugubelle Health Center,2,0,14,,,,,4,,,,,,,,,,,,,,,,,,,
March 2008,Wallembelle Health Center,12,0,73,,,1,,2,,,,,,,,,,,,,,,,,,,
March 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,1,,,
March 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,44,
March 2008,Kulfuo Health Center,,,66,,,,,,,,,,,,,,,,4,,4,1,,,,46,7
March 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nabulo Health Centre,,,,,,,,,,,,,1,,,,,,3,,2,,,,,1,
March 2008,Kunchogu Health Center,,,33,,,,,,,,,,2,,,,1,,,,,,,,,,2
March 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tumu Hospital,36,1,220,1,,,,,,,,,3,19,,,6,,,,3,5,,16,,67,
April 2008,Sakai CHPS,,,30,,,,,,,,,,,,,,,,8,,,1,,26,,50,
April 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nabugubelle Health Center,,,43,,,,,2,,,,,,,,,,,,,,,,,,,
April 2008,Wallembelle Health Center,8,0,83,,,1,,6,,,,,11,9,,,,,4,,1,2,,5,,38,
April 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kulfuo Health Center,1,1,52,,,,,,,,,,,,,,2,,6,,3,4,,4,,37,
April 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nabulo Health Centre,,,,,,,,,,,,,7,2,,,4,,5,,1,1,,3,,12,4
April 2008,Kunchogu Health Center,,,30,,,,,,,,,,6,,,,,,4,,,,,,,,2
April 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Tumu Hospital,27,0,287,5,,,,,,,,,,36,,,6,,,,20,3,,42,,126,
May 2008,Sakai CHPS,,,39,,,,,,,,,,,,,,3,,8,,,,,,,23,
May 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nabugubelle Health Center,,,39,,,,,,,,,,1,,,,2,,,,3,1,,6,,14,3
May 2008,Wallembelle Health Center,5,0,48,,,,,5,,,,,19,6,,,2,,1,,4,3,,19,1,23,6
May 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Bawiesibelle CHPS,,,20,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kulfuo Health Center,3,3,114,3,,,,,,,,,,,,,8,,,,4,,,3,,66,
May 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nabulo Health Centre,4,0,82,,,1,,,,,,,3,,,,,,3,,4,9,,1,,5,
May 2008,Kunchogu Health Center,,,32,,,,,,,,,48,14,,,,1,,,,1,,,,,8,
May 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Tumu Hospital,24,1,388,4,,3,,1,,1,,,,10,,,11,,7,,15,3,,44,,129,
June 2008,Sakai CHPS,,,49,,,,,,,,,,1,,,,,,10,,,,,1,,29,
June 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nabugubelle Health Center,1,0,48,,,,,,,,,,2,,,,3,,14,,4,,,12,,9,1
June 2008,Wallembelle Health Center,1,0,67,,,1,,2,,,,,15,10,,,,,1,,6,2,,17,,55,
June 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kulfuo Health Center,1,1,,,,,,,,,,,,,,,2,,8,,3,,,,,22,3
June 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nabulo Health Centre,2,0,12,,,,,20,,3,,,2,,,,1,,6,,1,,,13,,13,4
June 2008,Kunchogu Health Center,,,33,,,,,,,,,,3,,,,1,,6,,1,,1,,,7,
June 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Tumu Hospital,28,1,236,6,,5,,,,,,,,15,,,14,,17,,12,5,,91,12,62,
July 2008,Sakai CHPS,2,2,59,,,,,1,,,,,1,,,,1,,6,,,,,9,,28,
July 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nabugubelle Health Center,2,0,67,,,2,,18,,,,,5,,,,1,,13,,1,,,22,,41,
July 2008,Wallembelle Health Center,5,0,64,,,1,,7,,,,,3,15,,,5,,,,4,,,28,,25,
July 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kulfuo Health Center,5,0,91,,,1,,,,,,,,,,,,,8,,1,1,,6,,23,
July 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nabulo Health Centre,2,0,80,,,1,,,,,,,1,1,,,1,,6,,1,3,,1,,,7
July 2008,Kunchogu Health Center,,,27,,,,,,,,,,14,,,,,,1,,,,,1,,9,2
July 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Tumu Hospital,29,0,272,4,,2,,,,,,,7,42,,,11,,24,,10,2,,58,2,114,
August 2008,Sakai CHPS,,,46,,,,,3,,,,,,,,,2,,8,,,1,,9,,50,9
August 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Nabugubelle Health Center,1,0,40,,,,,,,,,,2,,,,,,13,,3,,,1,,4,3
August 2008,Wallembelle Health Center,5,0,62,,,1,,,,,,,,10,,,6,,8,,10,,,29,,70,
August 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kulfuo Health Center,,,86,,,2,,,,,,,,,,,5,1,9,,4,2,,1,,41,4
August 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Nabulo Health Centre,2,0,69,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kunchogu Health Center,,,25,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Tumu Hospital,,,,,,,,,,,,,7,25,,,16,,12,,7,2,,32,4,115,
September 2008,Sakai CHPS,,,47,,,,,,,,,,1,,,,10,,,,,,,14,,70,19
September 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Nabugubelle Health Center,1,0,37,,,,,,,,,,,,,,,,3,,2,,,3,,11,
September 2008,Wallembelle Health Center,6,0,74,,,4,,,,1,,,2,8,,,4,,,1,2,,,29,,130,
September 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kulfuo Health Center,,,98,,,,,,,,,,,,,,17,,9,3,,,,7,,135,10
September 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Nabulo Health Centre,5,0,63,,,,,,,,,,6,,,,24,,7,,1,1,,3,,14,
September 2008,Kunchogu Health Center,,,37,,,1,,2,,,,,34,,,,,,5,,5,,,3,,24,1
September 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Tumu Hospital,51,0,332,1,,,,,,,,,1,85,,,9,,35,,5,2,,54,1,192,
October 2008,Sakai CHPS,,,45,,,,,,,,,,,,,,,,8,,,,,15,,124,5
October 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Nabugubelle Health Center,,,60,,,1,,1,,,,,,,,,,,,,,,,,,,
October 2008,Wallembelle Health Center,7,0,63,,,,,,,,,,6,,,,2,,,,5,,,19,,,18
October 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bawiesibelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kulfuo Health Center,,,86,,,,,,,,,,,,,,3,,10,,4,,,9,,72,2
October 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Nabulo Health Centre,1,0,9,1,,,,,,,,,11,,,,3,,7,,,,,,,25,
October 2008,Kunchogu Health Center,,,21,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Tumu Hospital,44,0,358,2,,,,,,,,,6,8,,,,,8,,14,1,,14,,149,
November 2008,Sakai CHPS,,,44,,,,,2,,,,,,,,,,,2,,,,,6,,41,10
November 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Nabugubelle Health Center,1,0,58,,,,,2,,,,78,4,1,,,1,,2,,1,,,4,,14,2
November 2008,Wallembelle Health Center,11,11,89,,,1,,2,,,,,4,3,,,,,,,5,,,6,,59,
November 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Bawiesibelle CHPS,,,7,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kulfuo Health Center,1,0,84,,,,,,,,,,,,,,,,6,,,,,,,40,2
November 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Nabulo Health Centre,3,3,61,,,3,,,,,,,4,,,,5,,7,,1,,,,,10,2
November 2008,Kunchogu Health Center,,,23,,,,,,,,,,5,,,,1,,4,1,1,,,,,3,5
November 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Tumu Hospital,42,0,314,3,,6,,15,,,,,,,,,,,,,,,,,,,
December 2008,Sakai CHPS,,,51,,,,,,,,,,,,,,3,,4,,,,,12,,54,11
December 2008,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Nabugubelle Health Center,,,60,,,,,,,,,,7,2,,,4,,9,,2,,,19,,29,4
December 2008,Wallembelle Health Center,1,0,75,,,,,,,,,,4,3,,,,,,,5,,,6,,59,
December 2008,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Bawiesibelle CHPS,,,17,,,,,,,,,,3,,,,,,,,,,,,,,3
December 2008,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Kulfuo Health Center,2,0,74,,,,,,,,,,,,,,2,,6,,,1,,5,,18,
December 2008,Wuru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Pieng CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Nmanduonu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Nabulo Health Centre,,,55,,,,,,,,,,4,,,,4,,4,3,4,,,1,,6,
December 2008,Kunchogu Health Center,,,38,,,,,,,,,,1,,,,,,1,,1,3,,2,,4,1
December 2008,Bichembelle CHPS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Virtue medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Bugubelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Mama Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Tumu Hospital,45,0,294,4,,,,,,,,,2,7,,,4,,24,,1,,4,10,1,36,
January 2009,Sakai CHPS,,,36,,,,,,,,,,1,,,,5,,7,,1,,,8,,43,6
January 2009,Kassana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Nabugubelle Health Center,2,0,68,,,1,,3,,,,,5,1,,,,,,,,,,13,,23,2
January 2009,Wallembelle Health Center,3,0,98,,,1,,1,,,,,6,7,,,,,,,4,,,13,,63,
January 2009,Santijan CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Bawiesibelle CHPS,,,17,,,,,,,,,,,1,,,,,,,,,2,,,5,
January 2009,Chinchang CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2009,Tumu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
