Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Pusiga Health Centre,36,0,175,,,4,,,,,,,14,11,,,12,,11,,,,6,49,,110,
January 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Akunye Clinic,,,,,,,,,,,,,,1,,,2,,,,,1,,4,,,
January 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kulungungu Health center,28,0,179,,,,,,,,,,,,,,1,,1,,,,,5,,9,13
January 2008,Kultamsi Clinic,,,,,,,,,,,,,4,,,,,,,,,,,31,,29,
January 2008,Widana Health Centre,42,0,320,,,3,,1,,,,,,6,,,1,,5,,,,,24,,28,8
January 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Pusiga Health Centre,28,0,207,,,1,,2,,,,,5,5,,,14,,20,,,,2,44,,92,
February 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Akunye Clinic,,,,,,,,,,,,,,2,,,7,,1,,,,,13,,,6
February 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kulungungu Health center,22,0,149,,,,,,,,,,,3,,,1,,6,,,1,,11,,11,6
February 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,1,,6,,,,,28,,43,
February 2008,Widana Health Centre,31,0,257,,,1,,2,,,,,,2,,,7,,,,,,,7,,,2
February 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Pusiga Health Centre,30,0,249,,,1,,,,,,,2,2,,,10,,12,,,1,3,25,,52,
March 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Akunye Clinic,,,,,,,,,,,,,,3,,,10,,4,,,1,1,7,,1,
March 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kulungungu Health center,21,0,163,,,2,,1,,,,,,2,,,,,2,,,,,4,,16,8
March 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,,,,,,,,21,,20,
March 2008,Widana Health Centre,41,0,290,,,,,2,,,,,,2,,,3,,2,,,,,4,,,6
March 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Pusiga Health Centre,29,0,158,,,2,,2,,,,,3,13,,,7,,21,,,1,4,35,,64,11
April 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Akunye Clinic,,,,,,,,,,,,,,2,,,3,,2,,,1,,4,,,2
April 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kulungungu Health center,23,0,142,,,1,,1,,,,,,,,,,,6,,,,,4,,10,3
April 2008,Kultamsi Clinic,,,,,,,,,,,,,2,,,,3,,,,,,,19,,43,
April 2008,Widana Health Centre,42,0,291,,,2,,,,,,,1,5,,,1,,,,,2,,3,,14,13
April 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Pusiga Health Centre,41,0,169,,,,,1,,,,,1,11,,,10,,19,,,,5,32,,35,
May 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Akunye Clinic,,,,,,,,,,,,,,,,,5,,,,1,,,7,,,5
May 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kulungungu Health center,24,0,131,,,,,,,,,,,,,,,,1,,,,,7,,6,6
May 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,,,1,,,,,7,,6,6
May 2008,Widana Health Centre,38,0,269,,,,,,,,,,,4,,,1,,5,,,,,17,,28,8
May 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Pusiga Health Centre,18,0,204,,,3,,,,,,,3,11,,,8,,20,,,,1,50,,72,8
June 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Akunye Clinic,,,,,,,,,,,,,,,,,,,,,,,,4,,,
June 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kulungungu Health center,21,0,199,,,1,,,,,,,,2,,,3,,,,,,,9,,14,7
June 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,,,,,,,,31,,4,
June 2008,Widana Health Centre,23,0,234,,,,,,,,,,2,4,,,1,,,,,1,,7,,15,5
June 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Pusiga Health Centre,36,0,270,,,2,,2,,,,,1,7,,,4,,9,,,,,56,,59,10
July 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Akunye Clinic,,,,,,,,,,,,,,,,,1,,4,,,,,5,,,
July 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kulungungu Health center,23,0,146,,,,,1,,,,,,,,,,,1,,,,,21,,6,16
July 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,,,,,,,,34,,32,
July 2008,Widana Health Centre,23,0,284,,,,,2,,,,,1,2,,,1,,,,,,,9,,8,12
July 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Pusiga Health Centre,26,0,264,,,4,,3,,,,,2,11,,,1,,11,,,1,,80,,106,9
August 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Akunye Clinic,,,,,,,,,,,,,,1,,,4,,4,,,,,12,,,25
August 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,13,,5,4
August 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 2008,Kulungungu Health center,22,0,140,,,1,,1,,,,,,,,,,,2,,,,,23,,9,24
August 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,3,,,,,,,74,,69,4
August 2008,Widana Health Centre,39,0,385,,,4,,,,,,,1,,,,1,,,,,,,8,,4,3
August 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Pusiga Health Centre,61,0,456,,,6,,8,,,,,4,17,,,5,,20,,,2,,67,,190,15
September 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Akunye Clinic,,,,,,,,,,,,,1,2,,,8,,2,,,,,21,,2,23
September 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,15,,22,3
September 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2008,Kulungungu Health center,,,,,,,,,,,,,,1,,,,,4,,,1,,10,,26,29
September 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,8,,,,6,,,88,,40,4
September 2008,Widana Health Centre,50,0,431,,,7,,,,,,,24,11,,,18,,2,,,,,32,,20,22
September 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Pusiga Health Centre,87,0,455,,,2,,2,,,,,1,8,,,6,,12,,,1,,36,,157,10
October 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Akunye Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,8,,19,
October 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 2008,Kulungungu Health center,31,0,165,,,,,,,,,,,,,,,,2,,,,,23,,9,24
October 2008,Kultamsi Clinic,,,,,,,,,,,,226,,,,,7,,,,,,,96,,51,
October 2008,Widana Health Centre,75,0,457,,,2,,1,,,,,12,10,,,15,,13,,,,,33,,,19
October 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Pusiga Health Centre,63,0,250,,,5,,3,,,,,,4,,,8,,20,,,,,38,,153,4
November 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Akunye Clinic,,,,,,,,,,,,,7,17,,,6,,4,,,1,,66,,183,15
November 2008,Tindanatinga CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,11,
November 2008,Nakom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kultamsi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 2008,Kulungungu Health center,42,0,155,,,,,1,,,,,,1,,,2,,,,,1,,8,,11,10
November 2008,Kultamsi Clinic,,,,,,,,,,,,,,,,,4,,,,,,,57,,40,
November 2008,Widana Health Centre,60,0,380,,,2,,5,,,,,,9,,,,,,,,,,24,,,
November 2008,Sarabogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Pusiga Health Centre,51,0,134,,,2,,2,,,,,1,5,,,6,,12,,,1,,50,,100,9
December 2008,Zuabuliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2008,Akunye Clinic,,,,,,,,,,,,,8,30,,,15,,6,,,,,97,,,9
