Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,,,,,
January 2008,Bulenga Health Centre,8,0,146,,,,,,,,,,5,,,,3,,7,,,,,1,,13,2,,,,,
January 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yaala Health Centre,1,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Ducie CHPS,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Holomuni Health Centre,3,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Goh CHPS,,,,,,,,,,,,,,,,,,,3,,,,,,,6,4,,,,,
January 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Funsi Health Centre,5,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Katua CHPS,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Loggu Health Centre,1,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kulkpong CHPS,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kundungu Health Centre,2,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Samuel Seidu Memorial Clinic,,,65,,,,,,,,,,5,3,,,3,,7,,2,,,62,,15,2,,,,,
January 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bulenga Health Centre,9,0,146,,,,,,,,,,1,,,,3,,9,,1,,,,,14,7,,,,,
February 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yaala Health Centre,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ducie CHPS,2,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Holomuni Health Centre,2,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Goh CHPS,,,9,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
February 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Funsi Health Centre,6,0,78,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Katua CHPS,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Loggu Health Centre,3,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kulkpong CHPS,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kundungu Health Centre,9,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Samuel Seidu Memorial Clinic,,,17,,,,,,,,,,3,2,,,2,,11,,13,,,35,,18,3,,,,,
February 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bulenga Health Centre,10,0,132,,,,,,,,,,7,,,,11,,4,,1,1,,,,14,3,,,,,
March 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Yaala Health Centre,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Ducie CHPS,1,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Holomuni Health Centre,14,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Goh CHPS,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Funsi Health Centre,6,0,78,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Katua CHPS,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Loggu Health Centre,1,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kulkpong CHPS,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kundungu Health Centre,6,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Samuel Seidu Memorial Clinic,,,28,,,,,,,,,,7,2,,,,,14,,1,,,28,,13,3,,,,,
March 2008,Biitenge CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bulenga Health Centre,12,0,123,,,,,,,,,,4,,,,3,,14,,3,,,,,8,1,,,,,
April 2008,Chaggupaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Yaala Health Centre,1,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jeyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kataa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kpaglahi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Goripie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Ducie CHPS,1,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Holomuni Health Centre,6,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Goh CHPS,,,19,,,,,,,,,,,1,,,1,,,,,1,,,,1,1,,,,,
April 2008,Manwe CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Funsi Health Centre,3,0,43,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Buffiamah CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Danyawkura CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Katua CHPS,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Duu West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Naaha Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Loggu Health Centre,3,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
