date,facility,infant_deaths
January 2008,Bawku Presby Hospital,0
January 2008,Zebilla Hospital,1
January 2008,"Regional Hospital, Bolgatanga",1
January 2008,Bongo Hospital,1
January 2008,Sandema Hospital,0
January 2008,War Memorial Hospital,4
February 2008,Bawku Presby Hospital,0
February 2008,Zebilla Hospital,2
February 2008,"Regional Hospital, Bolgatanga",1
February 2008,Bongo Hospital,0
February 2008,Sandema Hospital,2
February 2008,War Memorial Hospital,4
March 2008,Bawku Presby Hospital,2
March 2008,Zebilla Hospital,2
March 2008,"Regional Hospital, Bolgatanga",4
March 2008,Bongo Hospital,0
March 2008,Sandema Hospital,1
March 2008,War Memorial Hospital,3
April 2008,Bawku Presby Hospital,1
April 2008,Zebilla Hospital,0
April 2008,"Regional Hospital, Bolgatanga",7
April 2008,Bongo Hospital,2
April 2008,Sandema Hospital,1
April 2008,War Memorial Hospital,0
May 2008,Bawku Presby Hospital,0
May 2008,Zebilla Hospital,0
May 2008,"Regional Hospital, Bolgatanga",2
May 2008,Bongo Hospital,0
May 2008,Sandema Hospital,2
May 2008,War Memorial Hospital,0
June 2008,Bawku Presby Hospital,0
June 2008,Zebilla Hospital,1
June 2008,"Regional Hospital, Bolgatanga",0
June 2008,Bongo Hospital,0
June 2008,Sandema Hospital,1
June 2008,War Memorial Hospital,1
July 2008,Bawku Presby Hospital,1
July 2008,Zebilla Hospital,0
July 2008,"Regional Hospital, Bolgatanga",2
July 2008,Bongo Hospital,1
July 2008,Sandema Hospital,1
July 2008,War Memorial Hospital,0
August 2008,Bawku Presby Hospital,0
August 2008,Zebilla Hospital,1
August 2008,"Regional Hospital, Bolgatanga",2
August 2008,Bongo Hospital,0
August 2008,Sandema Hospital,2
August 2008,War Memorial Hospital,3
September 2008,Bawku Presby Hospital,1
September 2008,Zebilla Hospital,3
September 2008,"Regional Hospital, Bolgatanga",2
September 2008,Bongo Hospital,0
September 2008,Sandema Hospital,0
September 2008,War Memorial Hospital,6
October 2008,Bawku Presby Hospital,0
October 2008,Zebilla Hospital,1
October 2008,"Regional Hospital, Bolgatanga",0
October 2008,Bongo Hospital,2
October 2008,Sandema Hospital,2
October 2008,War Memorial Hospital,1
November 2008,Bawku Presby Hospital,1
November 2008,Zebilla Hospital,2
November 2008,"Regional Hospital, Bolgatanga",3
November 2008,Bongo Hospital,2
November 2008,Sandema Hospital,0
November 2008,War Memorial Hospital,0
