Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
January 2008,Bansi CHPS,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,
January 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Goore Clinic,,,,,,,,,,,,,2,1,,,,,4,,,,,17,,12,,
January 2008,Binduri Health Centre,19,0,174,,,,,,,,,,2,4,,,2,,5,,,3,,32,,46,5,
January 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bazua Clinic,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Goore Clinic,,,,,,,,,,,,,3,1,,,,,2,,,,,10,,9,1,
February 2008,Binduri Health Centre,11,0,215,,,,,,,,,,,2,,,4,,4,,,1,,11,,17,5,
February 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bazua Clinic,,,99,,,,,,,,,,,,,,,,,,,,,4,,4,,
March 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Goore Clinic,,,,,,,,,,,,,2,1,,,,,1,,,,,5,,15,1,
March 2008,Binduri Health Centre,5,0,155,,,,,,,,,,,3,,,6,,5,,,,,15,,35,,
March 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bazua Clinic,,,97,,,1,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,
April 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Goore Clinic,,,,,,,,,,,,,1,1,,,2,,3,,,,,8,,8,,
April 2008,Binduri Health Centre,10,0,152,,,,,,,,,,1,,,,6,,5,,,1,1,13,,28,5,
April 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
April 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bazua Clinic,,,99,,,,,,,,,,,,,,,,,,,,,,,1,,
May 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,
May 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Goore Clinic,,,,,,,,,,,,,1,1,,,,,3,,,,,8,,8,1,
May 2008,Binduri Health Centre,10,0,104,,,,,,,,,,,3,,,,,6,,,,,21,,18,,
May 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Bazua Clinic,,,46,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,1,,2,5,
June 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Goore Clinic,,,,,,,,,,,,,4,,,,,,1,,,,,10,,9,,
June 2008,Binduri Health Centre,6,0,180,,,1,,,,,,,1,4,,,5,,1,,,1,,24,,32,1,
June 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Manga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Bazua Clinic,,,91,,,,,,,,,,,,,,,,,,,,,2,,,,
July 2008,Bansi CHPS,,,,,,,,,,,,,,,,,,,,,,,,2,,1,13,
July 2008,Zawse CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Asugtaaba Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Goore Clinic,,,,,,,,,,,,,1,3,,,,,2,,,,,31,,22,2,
July 2008,Binduri Health Centre,10,0,205,,,,,,,,,,4,1,,,2,,4,,,2,,17,,32,9,
July 2008,Nafkolga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Azum-Sapeliga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Aniisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Kukparigu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
