Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Sumbrungu Health Centre,7,0,147,,,2,,,,,,,2,,,,,,,,,,,9,,1,7
January 2008,"Regional Hospital, Bolgatanga",,,,,,,,,,,,,75,91,,,268,,28,,2,63,,342,,,
January 2008,Dachio CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zuarungu Health Centre,7,0,115,,,5,,,,,,,2,43,,,1,,2,,,5,,37,,13,4
January 2008,Aguusi CHPS,,,,,,,,,,,,,,,,,,,,,,1,,4,,1,2
January 2008,Yipala (Bolga) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Azorebisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Asakunde Memorial Clinic,,,,,,,,,,,,,46,20,,,11,,,,2,1,,295,,26,
January 2008,Sokabisi Health Centre,,,34,,,,,,,,,,,,,,1,,,,1,,,1,,,
January 2008,Afrikids Medical Centre,,,,,,,,,,,,,18,17,,,8,,8,,,1,,165,3,229,13
January 2008,Kalbeo CHPS,,,10,,,,,,,,,,,,,,,,,,,,,9,,,
January 2008,Yorogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kumbosco CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Katanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sherigu Health Centre,4,0,60,,,1,,,,,,,,,,,,,,,,,,,,6,
January 2008,Dorongo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nyokorko CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Presby Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Rhema Maternity,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yikene CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gambibgo Clinic,2,0,53,,,,,,,,,,,,,,,,2,,,,,1,,3,
January 2008,Tindonsobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bolga Health Centre,12,0,209,,,,,,,,,,,,,,4,,2,,,1,,15,,18,13
January 2008,Coronation Health Centre,6,0,249,,,,,2,,,,,,15,,,2,,,,,,,29,,56,
January 2008,Zuarungu-moshie Clinic,1,0,70,,,,,,,,,,,,,,,,,,,,,7,,7,
January 2008,Yarigabisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Amiah Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Madina CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,"Police Clinic, Bolgatanga ",,,,,,,,,,,,,,2,,,,,,,1,2,,,,,
January 2008,Nyariga Clinic,,,22,,,,,,,,,,,,,,,,,,,,,8,,,4
January 2008,Anateem CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kunkwa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sumbrungu Health Centre,11,0,168,,,2,,2,,1,,,,,,,,,,,,,,5,,,
February 2008,"Regional Hospital, Bolgatanga",,,,,,,,,,,,,52,121,,,177,,,,50,34,,539,,361,
February 2008,Dachio CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zuarungu Health Centre,15,0,135,,,1,,,,,,,,21,,,,,,,1,5,,8,,21,5
February 2008,Aguusi CHPS,,,,,,,,,,,,,2,,,,,,,,,,,1,,,
February 2008,Yipala (Bolga) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Azorebisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Asakunde Memorial Clinic,,,,,,,,,,,,,29,24,,,27,,,,2,,,182,,56,
February 2008,Sokabisi Health Centre,,,24,,,,,,,,,,,,,,,,1,,,,,,,,
February 2008,Afrikids Medical Centre,,,,,,,,,,,,,13,15,,,10,,10,,,,,139,,255,5
February 2008,Kalbeo CHPS,,,10,,,,,,,,,,,,,,,,1,,,,,2,,,
February 2008,Yorogo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kumbosco CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Katanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sherigu Health Centre,4,0,55,,,,,2,,,,,,,,,,,,,,,,,,14,
February 2008,Dorongo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nyokorko CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Presby Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Rhema Maternity,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yikene CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gambibgo Clinic,3,0,39,,,1,,2,,,,,,,,,,,5,,,,,2,,3,
February 2008,Tindonsobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bolga Health Centre,11,0,131,,,,,,,,,,,,,,3,,,,1,2,,6,,16,12
February 2008,Coronation Health Centre,8,0,230,,,1,,4,,,,,1,,,,,,,,,,,18,,56,
February 2008,Zuarungu-moshie Clinic,,,42,,,,,,,,,,,,,,,,,,,,,5,,5,
February 2008,Yarigabisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Amiah Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
