Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Zundema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008, Chuchuliga Yipaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kandema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chiok CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kalijiisa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kori CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chuchuliga Health Centre,7,0,175,,,,,,,,,,1,,,,3,,,,,2,,38,,56,11
January 2008,Sanwaasa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kadema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,St. Lucas Health Centre,13,0,118,,,,,,,,,,414,18,,,9,,6,,,7,,9,,823,26
January 2008,Kom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sandema Hospital,34,1,209,3,,7,,,,,,,,,,,6,,,,8,8,,28,,,1
January 2008,Farinsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Achanyeri-Goayie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yikpieng/Jansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Mutiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nanjupiung CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Siniensi Community Clinic,,,,,,,,,,,,,1,2,,,,,1,,3,,,32,,36,16
January 2008,Namonsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zundema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008, Chuchuliga Yipaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kandema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chiok CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kalijiisa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kori CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chuchuliga Health Centre,5,0,135,,,5,,3,,,,,,1,,,4,,,,,1,,24,,34,12
February 2008,Sanwaasa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kadema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,St. Lucas Health Centre,9,0,148,,,6,,3,,,,,217,19,,,5,,,,1,3,,8,,524,31
February 2008,Kom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sandema Hospital,31,1,181,6,,11,,,,,,,9,141,,,,,,,2,5,,28,,,58
February 2008,Farinsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Achanyeri-Goayie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yikpieng/Jansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Mutiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nanjupiung CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Siniensi Community Clinic,10,0,80,,,6,,,,,,,,8,,,,,1,,1,1,,35,,25,6
February 2008,Namonsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Zundema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008, Chuchuliga Yipaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kandema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chiok CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kalijiisa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kori CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chuchuliga Health Centre,14,0,148,,,2,,4,,,,,,,,,4,,,,,1,,16,,30,5
March 2008,Sanwaasa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kadema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,St. Lucas Health Centre,17,0,107,,,5,,4,,,,,238,19,,,9,,6,,1,4,,11,,545,32
March 2008,Kom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sandema Hospital,36,0,171,6,,9,,,,,,,12,124,,,5,,,,10,7,,24,,,43
March 2008,Farinsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Achanyeri-Goayie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Yikpieng/Jansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Mutiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nanjupiung CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Siniensi Community Clinic,13,0,84,,,,,,,,,,1,4,,,2,,1,,,2,,17,,24,9
March 2008,Namonsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Zundema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008, Chuchuliga Yipaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kandema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chiok CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kalijiisa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kori CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chuchuliga Health Centre,11,0,113,,,1,,,,,,,,,,,5,,,,5,1,,30,,37,21
April 2008,Sanwaasa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kadema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,St. Lucas Health Centre,7,0,107,,,2,,1,,,,,176,19,,,8,,22,,8,5,,11,,493,35
April 2008,Kom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Sandema Hospital,42,1,218,2,,7,,,,,,,11,169,,,5,,,,11,14,,21,,,4
April 2008,Farinsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Achanyeri-Goayie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Yikpieng/Jansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Mutiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nanjupiung CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Siniensi Community Clinic,9,0,80,,,2,,3,,,,97,,4,,,2,,2,,,2,,16,,19,7
April 2008,Namonsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Zundema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008, Chuchuliga Yipaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
