Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Uwasi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbedemblisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbedema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Bachongsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jiningsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jagsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zamsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Fumbisi Health Centre,6,0,207,,,,,,,,,,,3,,,27,,,,,,,30,,78,5
January 2008,Kunkwak CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Doninga Health Centre,,,,,,,,,,,,,,,,,1,,4,,,1,,12,,14,6
January 2008,Kanjarga Health Centre,3,0,94,,,,,,,,,,,,,,2,,,,,,,8,,5,2
January 2008,Kasiesa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wupiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Musidema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Uwasi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gbedemblisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,1
February 2008,Gbedema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bachongsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jiningsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jagsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zamsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Fumbisi Health Centre,7,0,162,,,2,,2,,1,,,,,,,6,,,,4,,,24,,100,2
February 2008,Kunkwak CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Doninga Health Centre,,,,,,,,,,,116,,,,,,,,,,1,,,26,,13,7
February 2008,Kanjarga Health Centre,4,0,74,,,,,,,,,,1,1,,,1,,1,,,1,,9,,10,2
February 2008,Kasiesa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wupiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Musidema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Uwasi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gbedemblisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gbedema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Bachongsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jiningsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jagsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Zamsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Fumbisi Health Centre,8,0,132,,,1,,3,,,,,,8,,,6,,,,12,1,,31,,64,1
March 2008,Kunkwak CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Doninga Health Centre,,,,,,,,,,,,,,,,,1,,,,,,,13,,4,
March 2008,Kanjarga Health Centre,5,0,82,,,1,,,,,,,5,,,,,,,,,,,11,,12,1
March 2008,Kasiesa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wupiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Musidema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Uwasi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gbedemblisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gbedema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Bachongsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wiesi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jiningsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jagsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Zamsa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Fumbisi Health Centre,10,0,155,,,2,,,,,,,1,12,,,6,,7,,15,2,1,38,,53,8
April 2008,Kunkwak CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chansa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Doninga Health Centre,2,0,17,,,1,,,,,,,,,,,,,,,,,,17,,6,1
April 2008,Kanjarga Health Centre,8,1,86,,,1,,,,,,,1,,,,2,,,,,1,,23,,14,1
April 2008,Kasiesa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wupiensa CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Musidema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Uwasi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gbedemblisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gbedema CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
