Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
January 2008,Tizza Health centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tampaala CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yagha Health Centre,4,0,41,,,,,1,,,,,,2,,,,,,,1,,,,,9,7,
January 2008,Ullo Health Centre,11,0,77,,,,,,,,,,4,,,,,,8,,1,,,20,,36,,
January 2008,Tamapuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sabuli Health Centre,5,0,36,,,,,,,,,,7,,,,4,,,,,,,13,,9,7,
January 2008,Jirapa Urban Health Center,,,77,,,,,,,,,,4,,,,,,,,,,,17,,34,,
January 2008,Saawie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Duori Health Centre,1,0,35,,,,,,,,,,4,1,,,6,,5,,,,,8,,17,,
January 2008,Ulkpong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nambeg CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Somboro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Ping CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sigri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,St. Joseph's Hospital,57,0,218,13,,,,,,,,,29,68,,,27,,,,9,26,1,20,2,133,,
January 2008,Kuncheni CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chapuri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tuggo Health Centre,2,0,51,,,,,,,,,,3,2,,,,,9,,,,,,,10,6,
January 2008,Kogri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Guoripuo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
