Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Channia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gwenia Vornia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Katiu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Azinzoka CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Chiana Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Mirigu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Saa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kaasi CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kurugu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wisdom (kassena Nankana West) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Badunu CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Ateyorum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nakolo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sakaa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Busungu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nabango CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Paga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kanania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Amuntanga CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nyangania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sirigu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kalvio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Longo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Apiagumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wuru CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kayoro Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kuliya CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Navio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gonum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kajelo Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wedam Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kandiga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nakong Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Channia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gwenia Vornia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Katiu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Azinzoka CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Chiana Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Mirigu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Saa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kaasi CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kurugu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wisdom (kassena Nankana West) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Badunu CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ateyorum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nakolo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sakaa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Busungu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nabango CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Paga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kanania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Amuntanga CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nyangania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sirigu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kalvio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Longo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Apiagumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wuru CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kayoro Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kuliya CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Navio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gonum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kajelo Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wedam Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kandiga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nakong Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Channia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gwenia Vornia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Katiu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Azinzoka CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Chiana Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Mirigu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Saa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kaasi CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kurugu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wisdom (kassena Nankana West) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Badunu CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Ateyorum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nakolo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sakaa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Busungu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nabango CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Paga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kanania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Amuntanga CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nyangania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sirigu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kalvio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Longo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Apiagumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wuru CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kayoro Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kuliya CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Navio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gonum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kajelo Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wedam Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kandiga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nakong Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Channia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gwenia Vornia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Katiu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Azinzoka CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Chiana Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Mirigu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Saa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kaasi CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kurugu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wisdom (kassena Nankana West) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Badunu CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Ateyorum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nakolo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Sakaa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Busungu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nabango CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Paga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kanania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Amuntanga CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nyangania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Sirigu Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kalvio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Longo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Apiagumongo CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wuru CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kayoro Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kuliya CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Navio Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Gonum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kajelo Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Wedam Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kandiga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nakong Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Channia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Gwenia Vornia CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Katiu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Azinzoka CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nania CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Chiana Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Mirigu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Saa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kaasi CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kurugu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Wisdom (kassena Nankana West) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Badunu CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Ateyorum CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nakolo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Sakaa CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Busungu Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nabango CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Paga Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kanania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Amuntanga CHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nyangania Chc,,,,,,,,,,,,,,,,,,,,,,,,,,,
