Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Nangodi Health Centre,2,0,65,,,,,,,,,,2,2,,,3,,,,,2,,21,,55,6
January 2008,Pelungu Clinic,8,0,121,,,1,,,,,,,,,,,,,1,,,1,,,,23,
January 2008,Zanlerigu CHPS,,,23,,,,,,,,,,,,,,,,,,,,,,,9,
January 2008,Sakote CHPS,5,0,30,,,,,,,,,,,,,,,,,,,,,,,1,1
January 2008,Pitanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dasobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yakote CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,AMC Nangodi,,,,,,,,,,,,,50,9,,,3,,14,,,1,,19,1,83,
January 2008,Kongo Logre Clinic,7,0,169,,,1,,3,,,,,2,2,,,3,,,,,2,,21,,55,6
January 2008,Miboug CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kotintabig CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nangodi Health Centre,6,0,54,,,,,,,,,,2,8,,,9,,10,,2,3,,18,2,46,
February 2008,Pelungu Clinic,11,0,76,,,,,,,,,,,,,,,,,,,,,,,8,
February 2008,Zanlerigu CHPS,,,14,,,,,,,,,,,,,,,,,,,,,,,7,
February 2008,Sakote CHPS,6,0,30,,,,,,,,,,,,,,,,,,,,,,,11,
February 2008,Pitanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dasobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yakote CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,AMC Nangodi,,,,,,,,,,,,,54,13,,,4,,13,,,2,,17,,73,
February 2008,Kongo Logre Clinic,10,0,129,,,,,,,,,,3,8,,,,,,,3,3,,,2,46,
February 2008,Miboug CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kotintabig CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nangodi Health Centre,4,0,67,,,1,,,,,,,,7,,,,,1,,,,,24,,124,
March 2008,Pelungu Clinic,8,0,82,,,2,,,,,,,,,,,,,,,2,,,1,,10,
March 2008,Zanlerigu CHPS,,,23,,,3,,2,,1,,,,,,,,,,,,,,,,7,
March 2008,Sakote CHPS,5,0,28,,,1,,,,,,,,,,,,,,,,,,,,7,
March 2008,Pitanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dasobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Yakote CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,AMC Nangodi,,,,,,,,,,,,,66,15,,,9,,14,,,1,,22,,103,
March 2008,Kongo Logre Clinic,22,0,88,,,3,,1,,,,,1,3,,,5,,1,,2,,,24,,124,21
March 2008,Miboug CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kotintabig CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nangodi Health Centre,8,0,52,,,,,,,,,,1,3,,,,,,,,,,5,,11,1
April 2008,Pelungu Clinic,5,0,128,,,,,,,,,,,,,,,,2,,8,,,,,,
April 2008,Zanlerigu CHPS,,,17,,,,,,,,,,,,,,,,,,,,,,,7,
April 2008,Sakote CHPS,7,0,31,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Pitanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dasobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Yakote CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,AMC Nangodi,,,,,,,,,,,,,82,10,,,9,,22,,,,,18,2,96,
April 2008,Kongo Logre Clinic,21,0,84,,,,,,,,,,3,7,,,2,,,,3,5,2,9,7,50,13
April 2008,Miboug CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kotintabig CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nangodi Health Centre,4,0,65,,,3,,2,,,,,,2,,,1,,,,,,,6,,12,1
May 2008,Pelungu Clinic,14,0,80,,,,,,,,,,,,,,,,4,,3,,,,,9,
May 2008,Zanlerigu CHPS,,,13,,,9,,,,,,,,,,,,,,,,,,2,,2,
May 2008,Sakote CHPS,8,0,53,,,2,,,,,,,,,,,,,,,,,,,,8,
May 2008,Pitanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Dasobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Yakote CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,AMC Nangodi,,,,,,,,,,,,,67,14,,,26,,26,,,,,28,,48,
May 2008,Kongo Logre Clinic,20,0,66,,,3,,2,,,,,,16,,,,,,,,,,24,4,,
May 2008,Miboug CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kotintabig CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Nangodi Health Centre,4,0,62,,,,,,,,,,,4,,,1,,,,,,,6,1,12,
June 2008,Pelungu Clinic,7,0,96,,,,,,,,,,1,,,,,,,,9,,,1,,39,
June 2008,Zanlerigu CHPS,,,15,,,1,,1,,2,,,,,,,,,,,,,,,,7,
June 2008,Sakote CHPS,9,0,31,,,,,,,,,,,,,,,,,,,,,,,5,
June 2008,Pitanga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Dasobligo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Yakote CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,AMC Nangodi,,,,,,,,,,,,,68,13,,,6,,10,,,,,44,1,45,
June 2008,Kongo Logre Clinic,11,0,63,,,,,,,,,,24,7,,,19,,,,14,6,1,31,,24,
June 2008,Miboug CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2008,Kotintabig CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2008,Nangodi Health Centre,10,0,77,,,,,,,,,,,3,,,,,,,,,,17,,18,
July 2008,Pelungu Clinic,9,0,99,,,,,,,,,,,,,,2,,,,,1,,3,,6,
July 2008,Zanlerigu CHPS,,,18,,,,,,,,,,,,,,,,,,,,,,,7,
