Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Jang Health Centre,3,0,23,,,,,,,,,,,,,,5,,3,,,,,41,,39,6
January 2008,Charikpong Health Centre,7,7,94,,,,,,,,,,9,2,,,9,,12,,1,2,,19,,27,3
January 2008,Sampina CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nator CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kpazie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Ahmadia (nadowli) Hospital,,,,,,,,,,,,,,,,,1,,,,,,,1,,112,
January 2008,Nadowli Subdistrict Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Cheri-Sombo CHPS,,,,,,,,,,,,,,,,,1,,1,,,,,7,,10,
January 2008,Kaleo Health Centre (Immaculate Conception),5,0,,,,,,,,,,,2,,,,6,,6,,,,,32,,40,
January 2008,Goli CHPS,,,,,,,,,,,,,,,,,1,,,,,,,2,,6,2
January 2008,Nanvilli Health Centre,10,0,16,,,,,,,,,,10,,,,,,,,4,1,,5,,46,5
January 2008,Meguo Mantaari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Mwaawaare Baamaare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dapuoh CHPS Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kalsegra Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kanyini CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nyembale CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kaaha Ombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sombo Health Centre,4,0,51,,,,,,,,,,,4,,,5,,8,,,,,23,,56,3
January 2008,Piree Kangua CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Naro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nadowli District Hospital,,,,,,,,,,,,,,39,,,2,,9,,5,,,11,,3,18
January 2008,Loho (Old and New) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dapuori Health Centre,3,0,3,,,,,,,,,,1,,,,,,3,,,,,,,,
January 2008,Takpo Health Centre,7,0,22,,,,,,,,,,2,2,,,,,10,,3,1,,12,,28,13
January 2008,Tibani Zambogu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Duong CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sankana CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbankor CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kaleo Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jang Health Centre,,,,,,,,,,,,,1,,,,6,,4,,,2,,22,,27,7
February 2008,Charikpong Health Centre,,,,,,,,,,,98,,9,4,,,10,,11,,4,,,14,,34,
February 2008,Sampina CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nator CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kpazie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ahmadia (nadowli) Hospital,,,,,,,,,,,,,33,5,,,,,,,,,,,,91,
February 2008,Nadowli Subdistrict Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Cheri-Sombo CHPS,,,,,,,,,,,,,,,,,,,1,,,,,,,2,1
February 2008,Kaleo Health Centre (Immaculate Conception),,,,,,,,,,,,,4,,,,12,,10,,,,,21,,42,8
February 2008,Goli CHPS,,,,,,,,,,,,,,,,,,,2,,,,,5,,,2
February 2008,Nanvilli Health Centre,,,,,,,,,,,,101,14,,,,2,,1,,7,5,,5,,30,5
February 2008,Meguo Mantaari CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Mwaawaare Baamaare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
