Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Yirpelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nandom Hospital,60,1,215,3,,22,,16,,,,,102,21,,,42,,67,,15,15,1,33,9,162,7
January 2008,Gengenkpe Health Centre,3,0,32,,,,,,,,,32,32,7,,,2,,,,,,,6,,3,7
January 2008,Ketuo Hc,2,0,87,,,,,,,,,,1,1,,,,,6,,,,,22,,37,4
January 2008,Bu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nandom Rch,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kokoligu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Guo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Good Shepherd Maternity Home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Naapaal CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tuopare CHPS,,,,,,,,,,,,,,,,,,,,,,,,3,,9,
January 2008,Piiri Health Centre,,,42,,,,,,,,,,1,,,,,,13,,,,,6,,9,
February 2008,Yirpelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nandom Hospital,55,0,271,2,,10,,15,,,,1014,103,93,,,75,,70,,2,,,63,52,85,
February 2008,Gengenkpe Health Centre,4,0,34,,,1,,,,,,,22,,,,,,,,,,,3,,2,7
February 2008,Ketuo Hc,,,98,,,,,,,,,,,,,,2,,6,,,1,,9,,23,5
February 2008,Bu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nandom Rch,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kokoligu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Guo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Good Shepherd Maternity Home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Naapaal CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tuopare CHPS,,,12,,,,,,,,,,,,,,,,,,,,,,,12,5
February 2008,Piiri Health Centre,1,0,52,,,4,,5,,,,,,,,,,,,,,,,4,,8,
March 2008,Yirpelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nandom Hospital,,,160,,,,,,,,,1068,102,21,,,42,,67,,5,15,1,33,9,162,7
March 2008,Gengenkpe Health Centre,,,21,,,,,,,,,,9,4,,,,,,,,,,,,,2
March 2008,Ketuo Hc,1,0,72,,,,,,,,,,,1,,,1,,4,,,,,,,7,4
March 2008,Bu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Nandom Rch,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kokoligu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Guo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Good Shepherd Maternity Home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Naapaal CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tuopare CHPS,,,18,,,,,,,,,,,,,,,,,,,,,,,2,4
March 2008,Piiri Health Centre,1,0,29,,,1,,1,,,,,,,,,,,10,,,,,1,,6,1
April 2008,Yirpelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nandom Hospital,100,0,222,8,,18,,16,,,,,154,64,,,26,,56,,7,14,4,47,24,294,
April 2008,Gengenkpe Health Centre,3,0,12,,,,,,,,,,4,2,,,1,,1,,,,,2,,2,4
April 2008,Ketuo Hc,,,73,,,,,,,,,,,2,,,1,,9,,,,,4,,13,2
April 2008,Bu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Nandom Rch,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kokoligu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Guo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Good Shepherd Maternity Home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tom CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Naapaal CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tuopare CHPS,,,18,,,,,,,,,,,,,,,,,,,,,,,7,7
April 2008,Piiri Health Centre,,,40,,,,,,,,,,,1,,,,,7,,,,,1,,9,3
May 2008,Yirpelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nandom Hospital,89,0,142,2,,,,,,,,,142,157,,,26,,28,,3,5,1,38,27,216,5
May 2008,Gengenkpe Health Centre,,,18,,,,,,,,,,,2,,,,,,,,,,1,,6,
May 2008,Ketuo Hc,,,50,,,,,43,,,,,1,,,,3,,1,,,,,8,,11,1
May 2008,Bu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Nandom Rch,,,61,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Kokoligu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
