Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Gwollu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Buo CHPS,,,15,,,,,,,,,,,,,,,,,,,,,,,2,
January 2008,Du-west CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tiwii CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Zini Health Centre,2,0,50,,,,,,,,,,5,,,,4,,3,,,,,8,,12,
January 2008,Duwie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jawia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Fatchu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jeffisi Health Centre,1,0,55,,,,,,,,,,,,,,12,,8,,,,,16,,24,7
January 2008,Gwollu Health Center,8,0,225,,,2,,,,,,,2,12,,,24,,,,,,,14,,18,4
January 2008,Sorbelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kupulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Pulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Fielmuo Health Centre,12,0,171,,,1,,2,,,,,4,7,,,12,,8,,,,,22,,67,22
February 2008,Gwollu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Buo CHPS,,,79,,,,,,,,,,1,,,,,,,,,,,1,,,
February 2008,Du-west CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tiwii CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Zini Health Centre,1,0,37,,,,,,,,,,,,,,8,,,,,,,3,,12,
February 2008,Duwie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jawia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Fatchu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jeffisi Health Centre,1,0,42,,,,,,,,,,,,,,3,,9,,,,,12,,26,12
February 2008,Gwollu Health Center,10,0,208,,,3,,1,,,,,,2,,,24,,3,,,,,12,,31,4
February 2008,Sorbelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kupulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Pulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Fielmuo Health Centre,4,0,251,,,,,,,,,,36,2,,,14,,,,,,,26,,58,8
March 2008,Gwollu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Buo CHPS,,,62,,,,,,,,,,,1,,,,,,,,,,1,,,
March 2008,Du-west CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tiwii CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Zini Health Centre,2,0,75,,,,,,,,,,3,,,,8,,,,2,,,,,5,
March 2008,Duwie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jawia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Fatchu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jeffisi Health Centre,1,0,49,,,1,,,,,,,,,,,3,,10,,,,,22,,40,12
March 2008,Gwollu Health Center,8,0,206,,,,,,,,,,1,1,,,28,,1,,1,,1,13,,12,4
March 2008,Sorbelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kupulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Pulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Fielmuo Health Centre,12,0,168,,,,,,,,,,5,10,,,10,,9,,1,1,,36,1,23,
April 2008,Gwollu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Buo CHPS,,,48,,,,,,,,,,,,,,,,,,,,,,,3,
April 2008,Du-west CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tiwii CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Zini Health Centre,6,0,62,,,,,,,,,,4,,,,,,6,,,,,,,15,1
April 2008,Duwie CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jawia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Fatchu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jeffisi Health Centre,,,46,,,,,,,,,,,,,,1,,10,,,,,10,,18,8
April 2008,Gwollu Health Center,16,0,210,,,1,,,,,,,,,,,21,,2,,4,1,,6,,15,6
April 2008,Sorbelle CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Kupulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Pulima CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Fielmuo Health Centre,15,0,139,,,,,,,,,,5,3,,,1,,4,,,,,11,,23,10
May 2008,Gwollu Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2008,Buo CHPS,,,60,,,,,,,,,,,,,,,,,,,,,1,,,
