Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals,
January 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jonga CHPS,,,18,,,,,,,,,,,,,,,,,,,,,,,1,,
January 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kunbiehi CHPS,,,,,,,,,,,,,2,,,,,,,,,,,8,,15,,
January 2008,Kperisi CHPS,1,0,53,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Kambali Health Center,,,185,,,,,,,,,,,,,,,,,,,,,1,,,,
January 2008,Wa Urban Health Center,,,152,,,,,,,,,,4,,,,,,,,,,,25,,20,,
January 2008,Dondoli CHPS,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Charingu Health Center,5,0,90,,,2,,,,,,,,,,,,,2,,,,,3,,29,,
January 2008,Charia Health Center,6,0,40,,,,,,,,,,12,,,,,,,,,,,2,,7,,
January 2008,Piisi (wa) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Adolescent Health Center,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Wa Market Clinic,,,135,,,,,,,,,,,,,,,,,,,,,33,,,,
January 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Busa Health Center,7,0,108,,,,,,,,,,5,,,,15,,,,,,,10,,12,,
January 2008,Bamahu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Upper West Regional Hospital,171,0,570,41,,,,,,,,,30,40,,,97,,8,,13,,2,,2,31,,
January 2008,Bamahu Health Center,,,83,,,,,,,,,,1,,,,,,6,,,,,14,,18,,
January 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Konta North Clinic,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Boli CHPS,,,37,,,,,,,,,,,,,,,,,,,,,1,,,,
January 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dobile North CHPS,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kunbiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kperisi CHPS,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Kambali Health Center,,,192,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wa Urban Health Center,17,0,170,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dondoli CHPS,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Charingu Health Center,3,0,62,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Charia Health Center,4,0,29,,,1,,,,,,,,,,,,,,,,,,,,,,
February 2008,Piisi (wa) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Adolescent Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Wa Market Clinic,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Busa Health Center,6,0,92,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Bamahu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Good Sheperd Maternity Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nakore CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gbegru CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dobile South CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Arch Bishop Dery M. Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Upper West Regional Hospital,155,0,628,31,,,,,,,,,5,19,,,71,,7,,16,,1,4,,,,
February 2008,Bamahu Health Center,,,83,,,,,,,,,,,,,,,,,,,,,6,,,,
February 2008,Kpongu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Biihee CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Konta North Clinic,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Boli CHPS,5,0,38,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tampalipaani CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dandafuro CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Nyagli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dobile North CHPS,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Upper West Reg. Police Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jonga CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Islamic Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wa SHS Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Sing CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Konjiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Yibile CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Mangu/Sombo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Ahamadiya (wa) Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kunbiehi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kperisi CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Kambali Health Center,,,89,,,,,,,,,,,,,,11,,17,,,,,,,34,,
March 2008,Wa Urban Health Center,13,0,133,,,,,,,,,,8,1,,,2,,,,,,,18,,56,,
March 2008,Dondoli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Charingu Health Center,2,0,61,,,,,,,,,,,,,,,,3,,,,,13,,21,,
March 2008,Charia Health Center,4,0,28,,,,,,,,,143,3,3,,,2,,2,,,,,11,,31,,
March 2008,Piisi (wa) CHPS,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Adolescent Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Wa Market Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Al-ahzar Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
