Period,Organisation unit,"Mothers, all deliveries",Total maternal deaths,ANC attendance,Caesarean section deliveries,Labour Referrals In,Labour Referrals Out,ANC Referrals In,ANC Referrals Out,Postnatal Referrals In,Postnatal Referrals Out,SevMalLabCom,SevMalNLabCom,Pneumonia,Hypertensio,Poisoning (Occupational Poisoning),OP-Poisonings,Transport injuries (TA),Septiceamia,Home Injuries(Home Accidents and Injurie,Occupational Inju,Snake Bite,Other Animal Bite,Meningitis,DiarrhDise,Cardiac Diseases,Upper Respiratory Tract Infections,Referrals
January 2008,Kunchelleyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Tallawona CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,St. Ignatius Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Eggu Health Center,3,0,32,,,,,,,,,,1,,,,,,,,,,,,,11,4
January 2008,Poyentanga Health Center,11,0,252,,,,,,,,,,22,3,,,17,,19,,2,3,,41,,68,12
January 2008,Piisie (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Maanyayiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Progress Maternity,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Jenbob CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Siiriyire CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Lassia Tuolu Health Center,2,0,204,,,,,,,,,,13,2,,,5,,3,,,,,8,,45,12
January 2008,Chogsia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Ga (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Varimpare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dorimon Health Center,4,0,217,,,,,,,,,,1,,,,1,,2,,5,,,4,,8,12
January 2008,Vieri Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Olli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Metteu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Da-e-yiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,BULI CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dornye CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Dabo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Vieri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2008,Gurungu Health Center,1,0,99,,,,,,,,,,6,,,,,,6,,2,1,,12,,8,6
February 2008,Kunchelleyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Tallawona CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,St. Ignatius Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Eggu Health Center,,,32,,,,,,,,,,1,,,,,,2,,,,,3,,2,1
February 2008,Poyentanga Health Center,9,0,106,,,,,,,,,,12,,,,3,,8,,8,4,,15,,17,6
February 2008,Piisie (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Maanyayiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Progress Maternity,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Jenbob CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Siiriyire CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Lassia Tuolu Health Center,2,0,131,,,,,,,,,,8,2,,,5,,,,,,13,5,,67,7
February 2008,Chogsia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Ga (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Varimpare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dorimon Health Center,2,0,217,,,,,,,,,,2,,,,2,,1,,2,2,,3,,16,4
February 2008,Vieri Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Olli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Metteu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Da-e-yiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,BULI CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dornye CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Dabo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Vieri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 2008,Gurungu Health Center,2,0,82,,,,,,,,,,13,,,,,,5,,,1,,1,,8,23
March 2008,Kunchelleyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Tallawona CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,St. Ignatius Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Eggu Health Center,3,0,45,,,,,,,,,,1,,,,1,,1,,,,,4,,5,1
March 2008,Poyentanga Health Center,5,0,119,,,,,,,,,,,,,,15,,16,,21,4,,27,,26,12
March 2008,Piisie (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Maanyayiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Progress Maternity,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Jenbob CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Siiriyire CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Lassia Tuolu Health Center,4,0,129,,,,,,,,,,1,1,,,4,,5,,1,,15,5,,37,12
March 2008,Chogsia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Ga (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Varimpare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dorimon Health Center,5,0,232,,,,,,,,,,2,,,,4,,9,,9,,,1,,16,12
March 2008,Vieri Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Olli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Metteu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Da-e-yiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,BULI CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dornye CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Dabo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Vieri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2008,Gurungu Health Center,5,0,95,,,,,,,,,,18,,,,4,,3,,4,4,13,11,,18,16
April 2008,Kunchelleyiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Tallawona CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,St. Ignatius Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Eggu Health Center,,,36,,,,,,,,,,1,,,,4,,,,,3,,8,,3,1
April 2008,Poyentanga Health Center,16,0,229,,,,,,,,,,7,,,,5,,10,,22,2,,15,,15,9
April 2008,Piisie (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Maanyayiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Progress Maternity,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Jenbob CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Siiriyire CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Lassia Tuolu Health Center,5,0,122,,,,,,,,,,,,,,,,,,,,,11,,,
April 2008,Chogsia CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Ga (Wa West) CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Varimpare CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dorimon Health Center,8,0,219,,,,,,,,,,3,,,,6,,4,,7,1,2,4,,5,39
April 2008,Vieri Health Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Olli CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Metteu CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Da-e-yiri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,BULI CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dornye CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Dabo CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2008,Vieri CHPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
